,index,supply_value,long,lat,site_ID
0,0,1,-0.4712113874118363,52.128622289310414,E0
1,1,1,-0.47463708754222583,51.89479328910814,E1
2,2,1,-0.09377078763849919,51.46806258875391,E2
3,3,1,-0.09377078763849919,51.46806258875391,E3
4,4,1,-0.4843674875478322,51.891807489105574,E4
5,5,1,-0.2026618871902188,52.332855289486794,E5
6,6,1,-0.2026618871902188,52.332855289486794,E6
7,7,1,0.1368829128524223,52.17306738934595,E7
8,8,1,-0.016856287578757397,51.522514588799716,E8
9,9,1,-0.1514422876278679,51.52283638879794,E9
10,10,1,-0.21184058742138093,51.92422028913364,E10
11,11,1,-0.1939772874832919,51.80267238903072,E11
12,12,1,-0.4010739876466428,51.656277288906,E12
13,13,1,0.08580921260311332,51.771049889006186,E13
14,14,1,-0.4036238876520247,51.64853798889948,E14
15,15,1,0.6877328126804176,51.55385928883786,E15
16,16,1,0.6877328126804176,51.55385928883786,E16
17,17,1,0.4469670132963284,52.75661518984963,E17
18,18,1,1.7563021135775154,52.47670668959817,E18
19,19,1,1.7178975136166617,52.56183218966853,E19
20,20,1,1.2202752134889137,52.617184689717945,E20
21,21,1,-0.0898346876023788,51.52761138880279,E21
22,22,1,0.025597112475757314,51.58958158885537,E22
23,23,1,0.7092480130913337,52.231614589394425,E23
24,24,1,0.11211401250136005,51.580295888849015,E24
25,25,1,0.11211401250136005,51.580295888849015,E25
26,26,1,-0.04612318757311758,51.550418188822164,E26
27,27,1,0.17192111248561015,51.51771568879895,E27
28,28,1,-0.05886868759672665,51.51787078879525,E28
29,29,1,-0.02752948766549631,51.381146688684424,E29
30,30,1,0.003072812460710606,51.577768188845354,E30
31,31,1,-0.042144487586438566,51.52507338880142,E31
32,32,1,0.03521791243991691,51.52236388880042,E32
33,33,1,-0.10004628761200837,51.5174959887943,E33
34,34,1,-0.04612318757311758,51.550418188822164,E34
35,35,1,-0.08825338757150586,51.579783188845724,E35
36,36,1,-0.1317038876128533,51.53613448880919,E36
37,37,1,-0.12074618761708646,51.52186258879757,E37
38,38,1,-0.0898346876023788,51.52761138880279,E38
39,39,1,-0.07434058754705859,51.613121888873486,E39
40,40,1,-0.3227379876622257,51.57544228883925,E40
41,41,1,-0.17206748761858057,51.5521468888218,E41
42,42,1,-0.16533908761555874,51.55303678882265,E42
43,43,1,-0.16541278761556075,51.55308108882268,E43
44,44,1,-0.31112578762578236,51.631462588886066,E44
45,45,1,-0.12475678761399729,51.52973608880402,E45
46,46,1,-0.13987538759821486,51.566648488834225,E46
47,47,1,-0.13987538759821486,51.566648488834225,E47
48,48,1,-0.13987538759821486,51.566648488834225,E48
49,49,1,-0.1422451876236649,51.5242154887992,E49
50,50,1,-0.20024528767415561,51.47423138875723,E50
51,51,1,-0.1422451876236649,51.5242154887992,E51
52,52,1,-0.1818675876613828,51.48448408876594,E52
53,53,1,-0.3243211877211913,51.47362888875482,E53
54,54,1,-0.4612384877445574,51.52520778879573,E54
55,55,1,-0.22105538767426214,51.48746358876779,E55
56,56,1,-0.17434868763928532,51.51781078879349,E56
57,57,1,-0.3227379876622257,51.57544228883925,E57
58,58,1,-0.17025658765462992,51.48870098876959,E58
59,59,1,-0.17434868763928532,51.51781078879349,E59
60,60,1,-0.08852928761524469,51.504678788783984,E60
61,61,1,-0.08852928761524469,51.504678788783984,E61
62,62,1,-0.09377078763849919,51.46806258875391,E62
63,63,1,-0.09377078763849919,51.46806258875391,E63
64,64,1,-0.09377078763849919,51.46806258875391,E64
65,65,1,0.05000861241912816,51.477948988764446,E65
66,66,1,-0.017013887619469297,51.453062488743,E66
67,67,1,0.055688612405207026,51.45087188874255,E67
68,68,1,-0.09093828763733293,51.46829068875413,E68
69,69,1,-0.11118608769086698,51.38929388868938,E69
70,70,1,-0.32600768774839184,51.42748558871681,E70
71,71,1,-0.32600768774839184,51.42748558871681,E71
72,72,1,-0.2824060877392563,51.41482288870714,E72
73,73,1,-0.16768398768434653,51.435900988726345,E73
74,74,1,-0.19102188774681592,51.34344858865058,E74
75,75,1,-0.1729470876543074,51.4909788887714,E75
76,76,1,-0.17522838769256133,51.426562988718565,E76
77,77,1,-0.19102188774681592,51.34344858865058,E77
78,78,1,-1.918136387907771,52.48463458965376,E78
79,79,1,-0.14295298762460437,51.523044588798236,E79
80,80,1,-1.9429312879370695,52.45120538962315,E80
81,81,1,-0.17023638768465335,51.4369931887272,E81
82,82,1,-1.9429312879370695,52.45120538962315,E82
83,83,1,-0.17023638768465335,51.4369931887272,E83
84,84,1,-1.5944139878390722,52.28882898946644,E84
85,85,1,-1.4760658876683184,52.511874889669016,E85
86,86,1,-0.11804228762859213,51.500345588779965,E86
87,87,1,-0.3243211877211913,51.47362888875482,E87
88,88,1,-1.19133528748277,52.60421878974762,E88
89,89,1,-2.7060224885415005,52.0571679892706,E89
90,90,1,-2.1812641881891865,52.19238108938759,E90
91,91,1,-0.0868236876154881,51.50319008878277,E91
92,92,1,-0.09377078763849919,51.46806258875391,E92
93,93,1,-0.09377078763849919,51.46806258875391,E93
94,94,1,-1.135565787445261,52.62555588976592,E94
95,95,1,-1.135565787445261,52.62555588976592,E95
96,96,1,-0.13611258762085054,51.525153788800075,E96
97,97,1,-0.6406481870643337,52.92100109002475,E97
98,98,1,-0.15022378691444796,52.801824689902894,E98
99,99,1,-0.5194789868498179,53.23357109031061,E99
100,100,1,-0.5194789868498179,53.23357109031061,E100
101,101,1,-0.5194789868498179,53.23357109031061,E101
102,102,1,-0.09377078763849919,51.46806258875391,E102
