Region name,MSOA code,MSOA name
East of England,E02003760,Huntingdon Sapley & Oxmoor
East of England,E02003761,Huntingdon Hartford
East of England,E02003762,"Brampton, the Stukeleys and the Alconburys"
East of England,E02003763,St Ives North
East of England,E02003764,Huntingdon Central & West
East of England,E02003765,St Ives South
East of England,E02003766,Godmanchester
East of England,E02003767,"Kimbolton, Great Staughton & Molesworth"
East of England,E02003768,"Houghton, Hemingford & Fenstanton"
East of England,E02003769,Buckden & Perry
East of England,E02003770,"Little Paxton, Love's Farm & Great Gransden"
East of England,E02003771,St Neots Priory Park
East of England,E02003772,St Neots Eaton Ford
East of England,E02003773,St Neots Eynesbury
East of England,E02003774,St Neots Eaton Socon
East of England,E02003775,Willingham & Over
East of England,E02003776,Cottenham
East of England,E02003777,"Longstanton, Swavesey & Oakington"
East of England,E02003778,Waterbeach and Landbeach
East of England,E02003779,Bar Hill & Boxworth
East of England,E02003780,"HIston, Impington & Orchard Park"
East of England,E02003781,"Milton, Fen Ditton & Quy"
East of England,E02003783,Girton & Barton
East of England,E02003784,Hardwick & Highfields
East of England,E02003785,Fulbourn & Teversham
East of England,E02003786,Great Shelford & Stapleford
East of England,E02003787,"Barrington, Orwell & Gamlingay"
East of England,E02003788,"Little Shelford , Foxton & Haslingfield"
East of England,E02003789,Sawston
East of England,E02003790,Linton & Balsham
East of England,E02003791,"Duxford, Whittlesford & the Abingtons"
East of England,E02003792,"Meldreth, Melbourn & Great Chishill"
East of England,E02003793,Bassingbourn & the Mordens
East of England,E02006873,Cambourne
East of England,E02006874,"Papworth, Caxton & Fen Drayton"
East of England,E02004424,Billericay North East
East of England,E02004425,Billericay Queen's Park
East of England,E02004426,Billericay Central & Sunnymede
East of England,E02004427,Billericay Tye Common
East of England,E02004428,Wickford North East
East of England,E02004429,Wickford West
East of England,E02004430,Wickford Shotgate
East of England,E02004431,Wickford South
East of England,E02004432,Bursteads
East of England,E02004433,Steeple View & Noak Bridge
East of England,E02004434,Felmore & Bowers Gifford
East of England,E02004435,Whitmore Way & Fremnells
East of England,E02004436,Chalvedon
East of England,E02004437,Laindon West & Southfields
East of England,E02004438,Basildon Central & Pipps Hill
East of England,E02004439,Laindon Central
East of England,E02004440,Laindon East & Lee Chapel North
East of England,E02004441,Eversley
East of England,E02004442,Barstable
East of England,E02004443,Lee Chapel South & Kingswood
East of England,E02004444,Langdon Hills
East of England,E02004445,Vange & Pitsea
East of England,E02004446,Steeple Bumpstead & Great Yeldham
East of England,E02004447,"Bures Hamlet, Maplestead & Belchamp"
East of England,E02004448,"Hedingham, Gosfield & Greenstead Green"
East of England,E02004449,Halstead Central & West
East of England,E02004450,"Panfield, Finchingfield & Bardfield"
East of England,E02004451,Halstead East & Colnes
East of England,E02004452,Bocking Churchstreet & Blackwater
East of England,E02004453,Bocking
East of England,E02004454,Central Braintree
East of England,E02004455,Braintree West & Rayne
East of England,E02004456,Braintree South
East of England,E02004457,Silver End & Stisted
East of England,E02004458,Great Notley & Black Notley
East of England,E02004459,Coggeshall & Kelvedon
East of England,E02004460,North Witham
East of England,E02004461,West Witham
East of England,E02004462,Witham Town
East of England,E02004463,"Witham South, Hatfield Peverel & White Notley"
East of England,E02004464,Kelvedon Hatch & Doddinghurst
East of England,E02004465,Ingatestone & Mountnessing
East of England,E02004466,Hutton
East of England,E02004467,Brentwood North
East of England,E02004468,Shenfield & Hutton Mount
East of England,E02004469,Brook Street & Pilgrim's Hatch
East of England,E02004470,Brentwood Central
East of England,E02004471,Brentwood South & Warley
East of England,E02004472,"Herongate, Ingrave & West Horndon"
East of England,E02004473,Benfleet North
East of England,E02004474,New Thundersley
East of England,E02004475,Benfleet Appleton
East of England,E02004476,Thundersley Glen
East of England,E02004477,Hadleigh North
East of England,E02004478,Hadleigh South
East of England,E02004479,South Benfleet
East of England,E02004480,Canvey Island Winter Gardens
East of England,E02004481,Canvey Island Newlands
East of England,E02004482,Canvey Island North West
East of England,E02004483,Canvey Island South West
East of England,E02004484,Canvey Island Leigh Beck
East of England,E02004485,Great Leighs & the Walthams
East of England,E02004486,South Broomfield
East of England,E02004487,"Melbourne Park, Chignall & Pleshey"
East of England,E02004488,Springfield North
East of England,E02004489,Boreham & Little Baddow
East of England,E02004490,Melbourne
East of England,E02004491,Springfield South & Coronation Park
East of England,E02004492,Chelmer Village
East of England,E02004493,Waterhouse Lane & Admirals Park
East of England,E02004494,Central Chelmsford
East of England,E02004495,Writtle & Highwood
East of England,E02004496,Moulsham West
East of England,E02004497,Great Baddow North & East
East of England,E02004498,Great Baddow South & West
East of England,E02004499,Moulsham East
East of England,E02004500,Danbury & Bicknacre
East of England,E02004501,Galleywood
East of England,E02004502,"Margaretting, Stock & Ramsden"
East of England,E02004503,South Woodham Ferrers North
East of England,E02004504,South Woodham Ferrers South
East of England,E02004505,Rettendon & Runwell
East of England,E02004506,"Horkesley Heath, Langham & Dedham"
East of England,E02004507,Highwoods
East of England,E02004508,West Bergholt & Wormingford
East of England,E02004509,Mile End & Braiswick
East of England,E02004512,Central Colchester
East of England,E02004513,Greenstead
East of England,E02004514,Lexden
East of England,E02004515,Marks Tey & Wakes Colne
East of England,E02004516,New Town & Hythe
East of England,E02004517,Stanway
East of England,E02004518,Abbey Field
East of England,E02004519,Prettygate & Westlands
East of England,E02004520,Shrub End
East of England,E02004521,Old Heath & Rowhedge
East of England,E02004522,Wivenhoe & University
East of England,E02004523,Monkwick
East of England,E02004524,"Layer-de-la-Haye, Abberton & Mersea East"
East of England,E02004525,Tiptree
East of England,E02004526,West Mersea
East of England,E02006922,Parson's Heath
East of England,E02004527,"North Weald, Matching & Sheering"
East of England,E02004528,"Roydon, Lower Nazeing & Epping Green"
East of England,E02004529,"Fyfield, High Ongar & Stapleford Abbotts"
East of England,E02004530,Chipping Ongar
East of England,E02004531,Epping North
East of England,E02004532,Epping South
East of England,E02004533,Waltham Abbey North
East of England,E02004534,Waltham Abbey South
East of England,E02004535,Waltham Abbey West & Outer
East of England,E02004536,Theydon Bois & Abridge
East of England,E02004537,Loughton East
East of England,E02004538,Loughton North
East of England,E02004539,Loughton South
East of England,E02004540,Loughton West
East of England,E02004541,Buckhurst Hill
East of England,E02004542,Chigwell
East of England,E02004543,Grange Hill
East of England,E02004544,Old Harlow & Newhall
East of England,E02004545,Mark Hall & Templefields
East of England,E02004546,Nettleswell
East of England,E02004547,Little Parndon & Hare Street
East of England,E02004548,Church Langley
East of England,E02004549,Bush Fair & Brays Grove
East of England,E02004550,Passmores & The High
East of England,E02004551,Potter Street
East of England,E02004552,Great Parndon & Katherines
East of England,E02004553,Staple Tye & Latton Bush
East of England,E02004554,Kingsmoor
East of England,E02004555,"Tollesbury, Tolleshunt & Goldhanger"
East of England,E02004556,"Great Totham, Wickham Bishops & Woodham"
East of England,E02004557,Heybridge
East of England,E02004558,Maldon North
East of England,E02004559,Maldon South
East of England,E02004560,"Southminster, Bradwell & Dengie Peninsula"
East of England,E02004561,"Mayland, Althorne & Cold Norton"
East of England,E02004562,Burnham-on-Crouch
East of England,E02004563,Hullbridge
East of England,E02004564,Ashingdon
East of England,E02004565,Hockley & Hawkwell West
East of England,E02004566,Rochford Town & Canewdon
East of England,E02004567,Rayleigh North East
East of England,E02004568,Rayleigh North West
East of England,E02004569,Rochford Outer & Hawkwell East
East of England,E02004570,Rayleigh South West
East of England,E02004571,Rayleigh South East
East of England,E02004572,Great Wakering & Foulness
East of England,E02004573,Harwich Town & Dovercourt
East of England,E02004574,Harwich Parkeston
East of England,E02004575,Manningtree & Mistley
East of England,E02004576,Harwich West & South
East of England,E02004577,Elmstead Market & Ardleigh
East of England,E02004578,Walton & Frinton Coastal
East of England,E02004579,Weeley & Thorpe-le-Soken
East of England,E02004580,Frinton West & Kirby
East of England,E02004581,"Alresford, Great Bentley & Thorrington"
East of England,E02004582,Clacton North
East of England,E02004583,Brightlingsea & Point Clear
East of England,E02004584,Holland-on-Sea
East of England,E02004585,Clacton Bocking's Elm
East of England,E02004586,Clacton East
East of England,E02004587,Clacton Rush Green
East of England,E02004588,Clacton Central
East of England,E02004589,Clacton West
East of England,E02004590,Jaywick & St Osyth
East of England,E02004591,"Audley End, Ashdon & the Chesterfords"
East of England,E02004592,Saffron Walden Town
East of England,E02004593,"Newport, Littlebury & Clavering"
East of England,E02004594,"Thaxted, Great Sampford & Radwinter"
East of England,E02004595,Stansted Mountfitchet & Elsenham
East of England,E02004596,"Takeley, Airport & Mountfitchet South"
East of England,E02004597,Great Dunmow
East of England,E02004598,"Flitch Green, Felsted & High Easter"
East of England,E02004599,"Hatfield Heath, Hallingburys & Rodings"
East of England,E02004843,Hoddesdon Ware Road
East of England,E02004844,Rye Park
East of England,E02004845,Hoddesdon Town
East of England,E02004846,Broxbourne Town
East of England,E02004847,Wormley & Turnford
East of England,E02004848,Flamstead End
East of England,E02004849,Goffs Oak
East of England,E02004850,Cheshunt Coopers Walk
East of England,E02004851,Rosedale
East of England,E02004852,Cheshunt Central
East of England,E02004853,Churchgate
East of England,E02004854,Cheshunt South
East of England,E02004855,Waltham Cross Town
East of England,E02004856,"Markyate, Flamstead & Gaddesden"
East of England,E02004857,Tring West & Long Marston
East of England,E02004858,Tring North
East of England,E02004859,"Tring East, Wigginton & Aldbury"
East of England,E02004860,Woodhall Farm
East of England,E02004861,Northchurch & Potten End
East of England,E02004862,Grovehill
East of England,E02004863,Highfield
East of England,E02004864,Berkhamsted Town
East of England,E02004865,Gadebridge & Old Town
East of England,E02004866,Warners End
East of England,E02004867,Berkhamsted West
East of England,E02004868,Maylands & Adeyfield
East of England,E02004869,Berkhamsted South
East of England,E02004870,Hemel Hempstead Town
East of England,E02004871,Chaulden
East of England,E02004872,Leverstock Green
East of England,E02004873,Boxmoor & Apsley
East of England,E02004874,Corner Hall
East of England,E02004875,Nash Mills & Bennetts End
East of England,E02004876,Bovingdon & Chipperfield
East of England,E02004877,Kings Langley
East of England,E02004896,Potters Bar Parkfield
East of England,E02004897,Potters Bar Furzefield
East of England,E02004898,Potters Bar Oakmere
East of England,E02004899,Shenley & South Mimms
East of England,E02004900,Radlett
East of England,E02004901,Borehamwood Cowley Hill
East of England,E02004902,Borehamwood Brookmeadow
East of England,E02004903,Bushey North
East of England,E02004904,Borehamwood Kenilworth
East of England,E02004905,Elstree & Aldenham
East of England,E02004906,Borehamwood Hillside
East of England,E02004907,Bushey Central
East of England,E02004908,Bushey Heath
East of England,E02004909,Royston North & Central
East of England,E02004910,"Royston South, West & East"
East of England,E02004911,Letchworth Grange
East of England,E02004912,Baldock
East of England,E02004913,"Great Ashby, Ashwell & Barley"
East of England,E02004914,Letchworth East
East of England,E02004915,Letchworth Wilbury
East of England,E02004916,Letchworth South West
East of England,E02004917,Letchworth South East
East of England,E02004918,Hitchin Bearton
East of England,E02004919,Hitchin Walsworth
East of England,E02004920,Hitchin Town & West
East of England,E02004921,Hitchin Highbury
East of England,E02004922,"Ickleford, Great Offley & Whitwell"
East of England,E02004923,"Knebworth, Codicote & Kimpton"
East of England,E02004956,Abbots Langley
East of England,E02004957,Leavesden & Garston Manor
East of England,E02004958,Croxley North & Sarratt
East of England,E02004959,Rickmansworth North & Loudwater
East of England,E02004960,Chorleywood
East of England,E02004961,Croxley Green
East of England,E02004962,Rickmansworth West
East of England,E02004963,Oxhey Hall & Hayling
East of England,E02004964,"Mill End, Heronsgate & Maple Cross"
East of England,E02004965,Carpenders Park
East of England,E02004966,Moor Park & Batchworth
East of England,E02004967,South Oxhey
East of England,E02004968,Woodside & Leavesden Green
East of England,E02004969,Stanborough
East of England,E02004970,Garston
East of England,E02004971,Leggatts
East of England,E02004972,Tudor
East of England,E02004973,North Watford
East of England,E02004974,Nascot Wood
East of England,E02004975,Cassiobury
East of England,E02004976,Central Watford
East of England,E02004977,West Watford
East of England,E02004978,Holywell
East of England,E02004979,Oxhey
East of England,E02005503,"Bawdeswell, Swanton Morley & North Elmham"
East of England,E02005504,"Whissonsett, Litcham & Narborough"
East of England,E02005505,Dereham North & Neatherd
East of England,E02005506,"Dereham West, Necton & Gressenhall"
East of England,E02005507,Dereham Central & Toftwood
East of England,E02005508,"Hockering, Mattishall & Cranworth"
East of England,E02005509,Swaffham
East of England,E02005510,"Shipdham, Bradenham & Saham Toney"
East of England,E02005511,Watton
East of England,E02005512,"Wayland, Ellingham & Great Hockham"
East of England,E02005513,Attleborough
East of England,E02005514,"Mundford, Weeting & Forest"
East of England,E02005515,Buckenhams & Snetterton
East of England,E02005516,"East Harling, Garboldisham & Kenninghall"
East of England,E02005517,Thetford North
East of England,E02005518,Thetford Central & East
East of England,E02005519,Thetford South
East of England,E02005520,Aylsham
East of England,E02005521,"Reepham, Cawston & Lenwade"
East of England,E02005522,"Coltishall, Buxton & Frettenham"
East of England,E02005523,"Horsford, Hainford & Hevingham"
East of England,E02005524,Spixworth & St Faiths
East of England,E02005525,Taverham
East of England,E02005526,Drayton & Thorpe Marriott
East of England,E02005527,"Wroxham, Rackheath & the Plumsteads"
East of England,E02005528,Old Catton
East of England,E02005529,Hellesdon North West
East of England,E02005530,Hellesdon South East
East of England,E02005531,Sprowston Central
East of England,E02005532,Sprowston East
East of England,E02005533,"Blofield, Lingwood & Upton"
East of England,E02005534,Thorpe St Andrew North
East of England,E02005535,Thorpe St Andrew South & Dussindale
East of England,E02005536,Brundall & Cantley
East of England,E02005537,Acle & Reedham
East of England,E02005538,Hemsby & Ormesby
East of England,E02005539,"Fleggburgh, Rollesby & Martham"
East of England,E02005540,Caister on Sea
East of England,E02005541,Yarmouth North
East of England,E02005542,Yarmouth Central & Northgate
